Step,AgentID,State
0,"(15, 22)",-1
0,"(15, 23)",-1
0,"(15, 25)",-1
0,"(15, 26)",-1
0,"(15, 27)",-1
0,"(15, 28)",-1
0,"(15, 30)",-1
0,"(15, 33)",-1
0,"(15, 34)",-1
0,"(15, 35)",-1
0,"(15, 36)",-1
0,"(15, 38)",-1
0,"(15, 39)",-1
0,"(15, 40)",-1
0,"(15, 41)",-1
0,"(15, 43)",-1
0,"(15, 45)",-1
0,"(15, 46)",-1
0,"(15, 53)",-1
0,"(15, 56)",-1
0,"(15, 57)",-1
0,"(15, 62)",-1
0,"(15, 65)",-1
0,"(15, 66)",-1
0,"(15, 67)",-1
0,"(15, 70)",-1
0,"(15, 71)",-1
0,"(15, 72)",-1
0,"(15, 73)",-1
0,"(15, 74)",-1
0,"(15, 75)",-1
0,"(15, 76)",-1
0,"(15, 77)",-1
0,"(15, 78)",-1
0,"(15, 84)",-1
0,"(15, 85)",-1
0,"(15, 86)",-1
0,"(15, 87)",-1
0,"(15, 88)",-1
0,"(15, 89)",-1
0,"(15, 91)",-1
0,"(15, 92)",-1
0,"(15, 93)",-1
0,"(15, 95)",-1
0,"(15, 97)",-1
0,"(15, 99)",-1
0,"(16, 0)",-1
0,"(16, 1)",-1
0,"(16, 2)",-1
0,"(16, 4)",-1
0,"(16, 5)",-1
0,"(16, 6)",-1
0,"(16, 8)",-1
0,"(16, 9)",-1
0,"(16, 11)",-1
0,"(16, 12)",-1
0,"(16, 13)",-1
0,"(16, 14)",-1
0,"(16, 15)",-1
0,"(16, 16)",-1
0,"(16, 17)",-1
0,"(16, 18)",-1
0,"(16, 19)",-1
0,"(16, 22)",-1
0,"(16, 23)",-1
0,"(16, 24)",-1
0,"(16, 25)",-1
0,"(16, 26)",-1
0,"(16, 27)",-1
0,"(16, 30)",-1
0,"(16, 31)",-1
0,"(16, 32)",-1
0,"(16, 33)",-1
0,"(16, 35)",-1
0,"(16, 36)",-1
0,"(16, 40)",-1
0,"(16, 41)",-1
0,"(16, 43)",-1
0,"(16, 45)",-1
0,"(16, 46)",-1
0,"(16, 50)",-1
0,"(16, 51)",-1
0,"(16, 52)",-1
0,"(16, 53)",-1
0,"(16, 55)",-1
0,"(16, 56)",-1
0,"(16, 57)",-1
0,"(16, 58)",-1
0,"(16, 59)",-1
0,"(16, 60)",-1
0,"(16, 61)",-1
